entry_date,direction,entry_spread,exit_date,pnl,fold,pair
2025-12-18,short,36.127826293356414,2025-12-19,0.1588,13,XLE/XLK
2025-12-19,long,35.96902923116339,2025-12-22,0.4096,13,XLE/XLK
2025-12-22,short,36.378601062357205,2025-12-23,-0.2471,13,XLE/XLK
2025-12-23,long,36.625658867471635,2025-12-24,-0.1473,13,XLE/XLK
2025-12-24,short,36.47831336719746,2025-12-26,0.1808,13,XLE/XLK
2025-12-26,long,36.29746427368832,2025-12-29,0.4516,13,XLE/XLK
2025-12-29,short,36.74903715765582,2025-12-30,-0.3617,13,XLE/XLK
2025-12-30,long,37.11073995340432,2025-12-31,-0.1735,13,XLE/XLK
2025-12-31,short,36.93720277572179,2026-01-02,-0.9167,13,XLE/XLK
2026-01-02,long,37.85395058971948,2026-01-05,1.2153,13,XLE/XLK
2026-01-05,short,39.06926842205917,2026-01-06,1.3474,13,XLE/XLK
2026-01-06,long,37.72187674258684,2026-01-07,-0.5005,13,XLE/XLK
2026-01-07,short,37.22142591309262,2026-01-12,-1.1886,13,XLE/XLK
2026-01-12,long,38.41005768310218,2026-01-13,0.6718,13,XLE/XLK
2026-01-13,short,39.08188534813314,2026-02-12,-7.3125,13,XLE/XLK
2026-02-13,long,-129.68777609562784,2026-02-23,12.3309,14,AMZN/XLF
2026-02-23,short,-117.35683268361981,2026-02-24,-1.7001,14,AMZN/XLF
2026-02-24,long,-115.65676456664073,2026-02-25,-3.5801,14,AMZN/XLF
2026-02-25,short,-119.23688268218399,2026-02-26,6.7266,14,AMZN/XLF
2026-02-26,long,-125.96348264896432,2026-02-27,8.8849,14,AMZN/XLF
2026-02-27,short,-117.07863230670756,2026-03-02,0.7832,14,AMZN/XLF
2026-03-02,long,-117.86186012430812,2026-03-03,0.9124,14,AMZN/XLF
2026-03-03,short,-116.94949950411541,2026-03-04,-6.2457,14,AMZN/XLF
2026-03-04,long,-110.7037972020571,2026-03-05,3.8371,14,AMZN/XLF
2026-03-05,short,-106.86668485298202,2026-03-06,1.5326,14,AMZN/XLF
2026-03-06,long,-108.39929374034318,2026-03-09,1.8063,14,AMZN/XLF
2026-03-09,short,-106.59296582325942,2026-03-19,-3.792,14,AMZN/XLF
2026-03-19,long,-102.80101106649789,2026-03-20,-3.9624,14,AMZN/XLF
2026-03-20,short,-106.76337473844842,2026-03-23,-1.951,14,AMZN/XLF
2026-03-23,long,-104.81239623522453,2026-03-24,-2.9639,14,AMZN/XLF
2026-03-24,short,-107.77630316783336,2026-03-25,-4.0864,14,AMZN/XLF
2026-03-25,long,-103.68985331882118,2026-03-26,-2.3162,14,AMZN/XLF
2026-03-26,short,-106.00607169418811,2026-03-27,0.2735,14,AMZN/XLF
2026-03-27,long,-106.27953537400202,2026-03-30,-1.9058,14,AMZN/XLF
2026-03-30,short,-108.18533699004922,2026-03-31,-0.8637,14,AMZN/XLF
2026-03-31,long,-107.32161925358218,2026-04-01,1.8525,14,AMZN/XLF
2026-04-01,short,-105.46908060963978,2026-04-02,1.3753,14,AMZN/XLF
2026-04-02,long,-106.84439852644329,2026-04-06,0.7826,14,AMZN/XLF
2026-04-06,short,-106.0617559368298,2026-04-07,-0.98,14,AMZN/XLF
2026-04-07,long,-105.08174495050167,2026-04-08,-0.9579,14,AMZN/XLF
2026-04-08,short,-106.03968432031206,2026-05-11,-47.8678,14,AMZN/XLF
